id,name,title,num_resources,type,organization_name,metadata_created,metadata_modified
6e3fcf05-c1be-4f48-8afb-c40cf32a892d,reports-of-the-chief-electoral-officer-of-yukon-on-general-elections,Reports of the Chief Electoral Officer of Yukon on General Elections,24,information,elections-yukon,2024-07-04T11:04:15,2025-11-04T16:25:52.430635
5f2fa9c3-e467-49cb-8930-7dbae7672a8b,test-requests-3-11,Test requests 3/11,1,access-requests,atipp-office,2025-11-03T11:55:03.342614,2025-11-03T11:56:02.882045
3113eb6c-92cd-4a52-8869-67bdef298bec,24-0699,24-0699,1,access-requests,public-service-commission,2025-07-01T13:54:09,2025-08-13T21:01:05.708669
b80aaa40-caa5-4044-9fc6-b8e9b205a55f,yukon-road-network,Yukon road network,3,data,geomatics-yukon,2021-12-14T15:52:43,2025-08-07T20:18:54.204870
b439ed30-a27a-475d-a033-86a70ac21594,yukon-tourism-indicators,Yukon tourism indicators,21,data,tourism-and-culture,2025-03-21T16:17:31,2025-08-07T20:18:53.903294
7059401a-125d-4baa-82e5-90863a232437,list-of-registered-yukon-societies,List of registered Yukon societies,2,data,community-services,2023-11-01T15:41:40,2025-08-07T20:18:53.647297
df1fee77-e8fb-43c7-96d0-b5f632df790e,government-of-yukon-human-resources-hr-metrics,Government of Yukon Human Resources (HR) metrics,2,data,public-service-commission,2024-08-29T14:09:23,2025-08-07T20:18:52.959222
761210a0-f807-4872-9046-66c854fdda9d,cdc-species-of-conservation-concern-centroids,CDC Species of Conservation Concern - Centroids,3,data,geomatics-yukon,2016-06-10T18:36:09,2025-07-14T20:53:52
13759a4a-45a5-47a7-9672-1185cef49fe7,cdc-species-of-conservation-concern-restricted,CDC Species of Conservation Concern - Restricted,3,data,geomatics-yukon,2021-06-26T17:28:24,2025-07-14T20:53:17
4dc219ae-acce-437a-bcd8-a78be4dc84c5,cdc-species-of-conservation-concern,CDC Species of Conservation Concern,3,data,geomatics-yukon,2016-06-10T18:38:22,2025-07-14T20:52:11
0e92265f-8812-4e3a-9863-63054fe804d9,surface-disturbance-mapping-extent,Surface disturbance mapping extent,3,data,geomatics-yukon,2022-10-11T20:30:45,2025-07-14T18:41:11
e4ab336e-5929-4d20-b5d1-8c7a1e2faf81,agricultural-land-parcels-surveyed,Agricultural Land Parcels - Surveyed,3,data,geomatics-yukon,2024-06-26T18:04:12,2025-07-14T18:40:27
01fcc038-f90d-411b-a84f-0b1df23a9784,bedrock-map-index,Bedrock map index,3,data,geomatics-yukon,2022-01-17T21:25:52,2025-07-14T18:38:37
28712867-40ca-4fbd-b403-4b43288beea4,placer-claims-50k,Placer claims - 50k,3,data,geomatics-yukon,2016-06-15T17:58:12,2025-07-14T18:37:51
1429e77f-d125-49e9-bed8-dd28f7b93724,subdivision-applications-50k,Subdivision Applications - 50k,3,data,geomatics-yukon,2022-02-28T18:16:33,2025-07-14T18:36:48
d199772c-d055-4c86-a1e9-43f2388b08aa,assessment-report-geochemistry,Assessment Report Geochemistry,3,data,geomatics-yukon,2024-05-16T21:20:09,2025-07-14T18:35:52
229cc699-cf4a-4611-8a40-61b1b593e28e,assessment-report-footprints,Assessment report footprints,3,data,geomatics-yukon,2017-09-26T19:38:58,2025-07-14T18:34:40
519d4dec-e021-4903-8a46-bb9f7658bff3,surface-disturbance-areal-features,Surface disturbance areal features,3,data,geomatics-yukon,2022-10-11T20:29:51,2025-07-14T17:41:38
09eb6891-dc10-4d67-aca2-ad8d4aef19a2,surface-disturbance-linear-features,Surface disturbance linear features,3,data,geomatics-yukon,2022-10-11T19:27:28,2025-07-14T17:39:06
1ebc692c-00bb-4619-a240-87c02f057ddf,agriculture-land-capability-class-field-analysis,Agriculture Land Capability Class - Field Analysis,3,data,geomatics-yukon,2024-03-15T22:52:31,2025-07-14T17:06:43
753a8c6e-0c18-4017-96bb-00eee719324c,conservation-officer-districts-250k,Conservation Officer Districts - 250K,3,data,geomatics-yukon,2024-09-06T17:00:57,2025-07-11T22:03:04
63e2cf46-f583-48b8-8e57-d10ec316b7dc,conservation-officer-districts-1m,Conservation Officer Districts - 1M,3,data,geomatics-yukon,2024-09-06T16:59:27,2025-07-11T22:02:33
d9085d7f-7e97-411d-8502-3a69e66bbef3,curie-point-depth-contours,Curie Point Depth Contours,3,data,geomatics-yukon,2024-09-09T22:28:58,2025-07-11T22:01:57
2c6abbc9-9be2-4490-be05-07c09cbab612,curie-point-depth,Curie Point Depth,3,data,geomatics-yukon,2024-10-03T21:43:05,2025-07-11T22:01:06
b0b7943c-2115-46bf-a0c4-440ddf2862c2,mountain-goat-wildlife-key-area-250k,Mountain Goat - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:10:36,2025-07-11T21:43:22
a14fbd4c-fc9c-44b8-91f5-9d6fce3ce808,wolf-wildlife-key-area-250k,Wolf - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:44:33,2025-07-11T21:42:31
c2760b1d-3e5c-4bee-9120-42f730e4e8f2,thinhorn-sheep-wildlife-key-area-250k,Thinhorn Sheep - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:39:29,2025-07-11T21:41:23
384fbc9f-c93e-4685-a84f-8aa7116a6d27,seal-wildlife-key-area-250k,Seal - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:28:05,2025-07-11T21:39:53
2cb0f9ac-c453-4014-8f37-592c3a2c49df,mule-deer-wildlife-key-area-250k,Mule Deer - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:13:18,2025-07-11T21:38:33
95a09b40-8acb-49f2-abce-1b2efda58285,polar-bear-wildlife-key-area-250k,Polar Bear - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:24:25,2025-07-11T21:37:16
053d08bd-9c93-47ab-9ab1-5c748c1839f5,mineral-lick-wildlife-key-area-250k,Mineral Lick - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:06:08,2025-07-11T21:36:17
d332126b-ce7e-42d3-8976-d9da2ba0a4d2,barren-ground-caribou-wildlife-key-area-250k,Barren-ground caribou - wildlife key area - 250k,3,data,geomatics-yukon,2016-06-10T18:45:35,2025-07-11T21:34:57
3b43af43-8709-4a6d-9694-6ec77579fbbb,woodland-caribou-level-2-wildlife-key-area-250k,Woodland Caribou - Level 2 - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:49:40,2025-07-11T21:27:37
061f2d08-7639-4c6c-8a1b-95bd878aef7e,muskox-level-3-wildlife-key-area-250k,Muskox - Level 3 - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:22:22,2025-07-11T21:25:50
84492e95-9d95-4f8e-aae6-ce5f02f66051,gull-wildlife-key-area-250k,Gull - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:03:38,2025-07-11T21:21:22
ead92a55-2fe9-4d33-8495-4d5ed3e95bbe,muskox-level-2-wildlife-key-area-250k,Muskox - Level 2 - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:15:07,2025-07-11T21:20:11
2b5a5b8b-27fe-4e7e-8e36-729bd205a61c,black-guillemot-wildlife-key-area-250k,Black Guillemot - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T18:53:29,2025-07-11T21:18:36
95ad9b1e-b8c4-453c-944b-2c381fd55296,fox-wildlife-key-area-250k,Fox - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:00:38,2025-07-11T20:27:09
c43f8367-ef17-4750-919e-5f7de23ed983,wood-bison-wildlife-key-area-250k,Wood Bison - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:46:12,2025-07-11T20:25:45
7c83f951-dfb9-4abf-b290-a9b82a5a2c8f,shorebird-wildlife-key-area-250k,Shorebird - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:37:48,2025-07-11T20:23:07
4cbae794-4d9d-4d53-9b9d-0d3eedef3c53,whale-wildlife-key-area-250k,Whale - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:43:02,2025-07-11T20:18:42
a5b34519-ab8f-4e83-9a04-ef2fed156050,waterfowl-wildlife-key-area-250k,Waterfowl - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:41:22,2025-07-11T20:16:36
039982bf-7d6f-472a-a636-0c3902d4dc9d,elk-wildlife-key-area-250k,Elk - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T18:57:47,2025-07-11T20:14:29
880741d1-0190-487f-a005-0b5fe4331274,bear-wildlife-key-area-250k,Bear - wildlife key area - 250k,3,data,geomatics-yukon,2016-06-10T18:47:56,2025-07-11T20:12:44
7ea297dd-d130-4ebe-b182-e4186726d4d2,raptor-wildlife-key-area-250k,Raptor - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:26:03,2025-07-11T20:10:17
1a359f62-90ad-4322-8e06-173633086c46,woodland-caribou-level-3-wildlife-key-area-250k,Woodland Caribou - Level 3 - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:52:02,2025-07-11T20:08:21
d777e81f-d700-4486-8d2a-aff00c034827,sharp-tailed-grouse-wildlife-key-area-250k,Sharp-tailed Grouse - Wildlife Key Area - 250k,3,data,geomatics-yukon,2016-06-10T19:35:54,2025-07-11T20:06:13
